ModelWeb Browser Results

nrlmsise model listing
Required input parameters
Year= 2000, Month=  1, Day=  1, Hour= 1.50,
Time_type = Universal
Coordinate_type = Geographic
Latitude=   55.00, Longitude=   45.00, Height=   100.00
Prof. parameters: Start=     0.00 Stop=  1000.00 Step=     1.00

Optional input parameters:

Sunspot number(Rz12) =not specified
Ionospheric index(IG12) =not specified
Upper limit for Electron content = not specified
F peak model =  
Ne Topside =  
foF2 Storm model =  
Bottomside Thickness =  
F1 occurrence probability =  
D-Region Ne =  
Topside Te =  
Ion Composition =  

Selected output parameters:
1  Height, km
2  Mass_density, g/cm-3
3  Temperature_neutral, K
4  Temperature_exospheric, K

1         2         3         4         
    0.0 1.293E-03  272.1  1027
    1.0 1.153E-03  268.9  1027
    2.0 1.034E-03  263.6  1027
    3.0 9.307E-04  256.9  1027
    4.0 8.373E-04  249.6  1027
    5.0 7.514E-04  242.1  1027
    6.0 6.712E-04  234.8  1027
    7.0 5.959E-04  228.3  1027
    8.0 5.253E-04  222.6  1027
    9.0 4.593E-04  218.1  1027
   10.0 3.982E-04  214.9  1027
   11.0 3.424E-04  213.2  1027
   12.0 2.927E-04  212.4  1027
   13.0 2.495E-04  212.3  1027
   14.0 2.125E-04  212.4  1027
   15.0 1.811E-04  212.2  1027
   16.0 1.548E-04  211.5  1027
   17.0 1.325E-04  210.4  1027
   18.0 1.134E-04  209.1  1027
   19.0 9.691E-05  207.8  1027
   20.0 8.269E-05  206.7  1027
   21.0 7.037E-05  206.0  1027
   22.0 5.976E-05  205.8  1027
   23.0 5.065E-05  205.9  1027
   24.0 4.286E-05  206.3  1027
   25.0 3.623E-05  207.2  1027
   26.0 3.060E-05  208.4  1027
   27.0 2.583E-05  209.9  1027
   28.0 2.180E-05  211.7  1027
   29.0 1.840E-05  213.9  1027
   30.0 1.554E-05  216.5  1027
   31.0 1.313E-05  219.4  1027
   32.0 1.110E-05  222.7  1027
   33.0 9.394E-06  226.2  1027
   34.0 7.970E-06  229.9  1027
   35.0 6.780E-06  233.6  1027
   36.0 5.783E-06  237.2  1027
   37.0 4.946E-06  240.8  1027
   38.0 4.242E-06  244.2  1027
   39.0 3.649E-06  247.5  1027
   40.0 3.148E-06  250.6  1027
   41.0 2.723E-06  253.3  1027
   42.0 2.362E-06  255.8  1027
   43.0 2.055E-06  257.8  1027
   44.0 1.793E-06  259.4  1027
   45.0 1.568E-06  260.5  1027
   46.0 1.376E-06  261.0  1027
   47.0 1.209E-06  261.0  1027
   48.0 1.064E-06  260.6  1027
   49.0 9.384E-07  259.7  1027
   50.0 8.280E-07  258.5  1027
   51.0 7.310E-07  257.0  1027
   52.0 6.455E-07  255.2  1027
   53.0 5.699E-07  253.2  1027
   54.0 5.029E-07  251.2  1027
   55.0 4.435E-07  249.0  1027
   56.0 3.908E-07  246.8  1027
   57.0 3.439E-07  244.6  1027
   58.0 3.023E-07  242.4  1027
   59.0 2.655E-07  240.2  1027
   60.0 2.328E-07  238.1  1027
   61.0 2.039E-07  236.0  1027
   62.0 1.783E-07  234.0  1027
   63.0 1.556E-07  232.1  1027
   64.0 1.356E-07  230.2  1027
   65.0 1.180E-07  228.5  1027
   66.0 1.025E-07  226.9  1027
   67.0 8.896E-08  225.4  1027
   68.0 7.707E-08  224.0  1027
   69.0 6.668E-08  222.8  1027
   70.0 5.761E-08  221.7  1027
   71.0 4.970E-08  220.8  1027
   72.0 4.283E-08  220.0  1027
   73.0 3.689E-08  219.4  1027
   74.0 3.177E-08  218.6  1027
   75.0 2.737E-08  217.6  1027
   76.0 2.358E-08  216.4  1027
   77.0 2.031E-08  215.1  1027
   78.0 1.750E-08  213.6  1027
   79.0 1.506E-08  212.0  1027
   80.0 1.296E-08  210.2  1027
   81.0 1.114E-08  208.4  1027
   82.0 9.570E-09  206.4  1027
   83.0 8.211E-09  204.4  1027
   84.0 7.037E-09  202.3  1027
   85.0 6.023E-09  200.2  1027
   86.0 5.147E-09  198.0  1027
   87.0 4.392E-09  195.7  1027
   88.0 3.742E-09  193.5  1027
